2 , 20
3 , 68
4 , 31
5 , 36
6 , 27
7 , 14
8 , 11
9 , 7
10 , 7
11 , 8
12 , 7
13 , 2
14 , 5
15 , 11
16 , 5
17 , 6
18 , 8
19 , 6
20 , 7
21 , 5
22 , 3
23 , 10
24 , 10
25 , 3
26 , 8
27 , 6
28 , 13
29 , 9
30 , 3
31 , 2
32 , 5
33 , 2
34 , 1
35 , 5
36 , 4
37 , 2
38 , 8
39 , 1
40 , 5
41 , 4
42 , 3
44 , 2
45 , 3
46 , 5
47 , 2
48 , 2
49 , 1
50 , 2
52 , 2
53 , 1
54 , 2
55 , 3
56 , 2
57 , 2
59 , 4
61 , 2
63 , 1
64 , 1
65 , 3
66 , 3
68 , 2
69 , 2
70 , 3
71 , 3
72 , 2
73 , 2
75 , 1
76 , 3
78 , 1
79 , 2
80 , 1
81 , 1
84 , 4
85 , 1
87 , 1
89 , 2
90 , 1
91 , 4
92 , 2
93 , 1
94 , 1
95 , 2
96 , 1
97 , 1
98 , 1
101 , 1
102 , 1
103 , 2
105 , 1
106 , 2
107 , 3
108 , 1
109 , 1
111 , 1
112 , 3
113 , 2
114 , 1
115 , 1
116 , 1
120 , 1
121 , 1
122 , 1
124 , 2
125 , 2
127 , 1
128 , 4
129 , 3
130 , 1
131 , 2
132 , 1
134 , 1
137 , 3
139 , 6
140 , 11
141 , 17
142 , 21
143 , 19
144 , 16
145 , 12
146 , 22
147 , 9
148 , 13
149 , 10
150 , 7
151 , 5
152 , 8
153 , 9
154 , 4
155 , 2
156 , 6
157 , 6
158 , 4
159 , 2
160 , 3
161 , 7
162 , 1
163 , 1
164 , 3
165 , 2
166 , 3
168 , 2
169 , 2
170 , 1
172 , 1
174 , 1
176 , 1
177 , 1
178 , 2
180 , 1
183 , 3
184 , 2
186 , 1
187 , 2
188 , 4
189 , 1
190 , 3
191 , 1
192 , 3
193 , 2
195 , 1
196 , 2
197 , 3
198 , 2
199 , 1
200 , 4
201 , 1
202 , 4
203 , 9
204 , 26
205 , 98
206 , 189
207 , 285
208 , 350
209 , 429
210 , 603
211 , 709
212 , 804
213 , 874
214 , 1025
215 , 1297
216 , 1297
217 , 1500
218 , 1548
219 , 1701
220 , 1534
221 , 1461
222 , 1282
223 , 1262
224 , 1159
225 , 843
226 , 788
227 , 662
228 , 649
229 , 552
230 , 502
231 , 476
232 , 513
233 , 512
234 , 562
235 , 548
236 , 603
237 , 574
238 , 559
239 , 581
240 , 546
241 , 497
242 , 467
243 , 385
244 , 406
245 , 327
246 , 321
247 , 282
248 , 264
249 , 270
250 , 221
251 , 201
252 , 165
253 , 148
254 , 136
255 , 115
256 , 120
257 , 76
258 , 80
259 , 87
260 , 76
261 , 67
262 , 61
263 , 61
264 , 40
265 , 37
266 , 33
267 , 31
268 , 22
269 , 26
270 , 21
271 , 26
272 , 18
273 , 16
274 , 13
275 , 14
276 , 13
277 , 13
278 , 14
279 , 10
280 , 6
281 , 7
282 , 1
283 , 4
284 , 1
285 , 2
286 , 5
287 , 2
288 , 1
289 , 2
291 , 3
292 , 3
293 , 1
294 , 3
295 , 2
296 , 3
298 , 2
299 , 2
301 , 2
303 , 1
305 , 1
306 , 1
307 , 1
311 , 1
327 , 1
333 , 1
351 , 1
456 , 1
