2 , 7
3 , 27
4 , 31
5 , 56
6 , 34
7 , 32
8 , 47
9 , 28
10 , 39
11 , 47
12 , 47
13 , 57
14 , 41
15 , 36
16 , 33
17 , 29
18 , 36
19 , 39
20 , 34
21 , 39
22 , 35
23 , 41
24 , 45
25 , 38
26 , 54
27 , 44
28 , 37
29 , 42
30 , 36
31 , 53
32 , 31
33 , 34
34 , 34
35 , 39
36 , 40
37 , 42
38 , 48
39 , 60
40 , 52
41 , 65
42 , 63
43 , 68
44 , 93
45 , 81
46 , 95
47 , 115
48 , 105
49 , 102
50 , 123
51 , 121
52 , 134
53 , 127
54 , 119
55 , 123
56 , 126
57 , 94
58 , 96
59 , 115
60 , 104
61 , 105
62 , 76
63 , 101
64 , 80
65 , 91
66 , 80
67 , 97
68 , 80
69 , 98
70 , 97
71 , 97
72 , 134
73 , 138
74 , 169
75 , 192
76 , 253
77 , 302
78 , 353
79 , 539
80 , 612
81 , 827
82 , 944
83 , 1120
84 , 1379
85 , 1512
86 , 1609
87 , 1747
88 , 1645
89 , 1618
90 , 1535
91 , 1388
92 , 1285
93 , 1239
94 , 1144
95 , 1153
96 , 1086
97 , 1002
98 , 990
99 , 921
100 , 803
101 , 710
102 , 674
103 , 578
104 , 474
105 , 456
106 , 351
107 , 298
108 , 296
109 , 254
110 , 208
111 , 178
112 , 152
113 , 122
114 , 120
115 , 79
116 , 67
117 , 65
118 , 58
119 , 56
120 , 53
121 , 37
122 , 31
123 , 13
124 , 22
125 , 22
126 , 16
127 , 17
128 , 8
129 , 10
130 , 4
131 , 7
132 , 3
133 , 4
134 , 1
135 , 3
136 , 8
137 , 2
138 , 5
139 , 2
142 , 2
144 , 1
145 , 1
147 , 2
148 , 2
150 , 1
151 , 1
152 , 1
154 , 2
166 , 1
168 , 1
175 , 1
192 , 1
195 , 1
